title,author,publisher,publishedAt,image,isbn
스윗한 SwiftUI,이봉원,비제이퍼블릭,2020-04-17,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5340327%3Ftimestamp%3D20210705180431,9791190014816
SwiftUI 기반의 iOS 프로그래밍(핵심만 골라 배우는)(아이러브 모바일 38),닐 스미스,제이펍,2020-03-16,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5265272%3Ftimestamp%3D20210706191508,9791190665025
모던 자바스크립트 Deep Dive(위키북스 프로그래밍 & 프랙티스 시리즈 26),이웅모,위키북스,2020-09-25,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5477653%3Ftimestamp%3D20210706194027,9791158392239
SwiftUI 기반의 iOS 프로그래밍(핵심만 골라 배우는)(아이러브 모바일 38),닐 스미스,제이펍,2020-03-16,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5265272%3Ftimestamp%3D20210706191508,9791190665025
생활코딩! HTML+CSS+자바스크립트(위키북스 러닝스쿨 시리즈 3),이고잉,위키북스,2019-01-15,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4851751%3Ftimestamp%3D20210706194907,9791158391331
자바 스크립트(거침없이 배우는),데이비드 소이어 맥파랜드,지앤선,2010-10-04,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1409836%3Ftimestamp%3D20190129212553,9788993827248
THE ART OF GAME DESIGN(에이콘 게임 개발 프로그래밍 시리즈 6),제시 셸,에이콘출판,2010-07-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F837773%3Ftimestamp%3D20210702153549,9788960771451
송쌤의 엔트리 게임 코딩 학교,송상수,제이펍,2019-05-16,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4939058%3Ftimestamp%3D20210706195133,9791188621576
소프트웨어 개념 사전(코딩책과 함께 보는)(궁리 IT's story 시리즈),김현정,궁리,2019-07-12,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4992306%3Ftimestamp%3D20210706194837,9788958205951
아티스트 웨이(개정판),줄리아 카메론,경당,2017-01-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1237023%3Ftimestamp%3D20210706195113,9788986377453
송쌤의 엔트리 게임 코딩 학교,송상수,제이펍,2019-05-16,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4939058%3Ftimestamp%3D20210706195133,9791188621576
직장인을 위한 실무 엑셀(개정판),선양미,길벗,2019-03-04,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1594147%3Ftimestamp%3D20210706193455,9791160500790
직장인을 위한 실무 엑셀(개정판),선양미,길벗,2019-03-04,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1594147%3Ftimestamp%3D20210706193455,9791160500790
2030 대담한 미래. 2(양장본 HardCover),최윤식,지식노마드,2014-08-25,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1402681%3Ftimestamp%3D20210701151450,9788993322637
부트스트랩 사용자 가이드(간편한 웹 애플리케이션 개발을 위한),이동팔,지앤선,2014-05-08,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1402037%3Ftimestamp%3D20210610160928,9788993827828
